wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;776;149;170;69;
dolnośląskie;221843;13577;76232;7411;t02
kujawsko-pomorskie;126224;8801;43732;4726;t04
lubelskie;147623;10388;48259;5776;t06
lubuskie;63539;3698;20749;2001;t08
łódzkie;177873;11064;63092;5743;t10
małopolskie;210678;14461;69552;7819;t12
mazowieckie;405082;23851;140808;13002;t14
opolskie;68338;4819;23842;2897;t16
podkarpackie;120234;9184;38269;5309;t18
podlaskie;82342;5335;26534;2829;t20
pomorskie;164627;10223;57706;4771;t22
śląskie;281207;20034;98478;9922;t24
świętokrzyskie;72783;5127;24262;2867;t26
warmińsko-mazurskie;88456;5865;28130;2673;t28
wielkopolskie;214723;13856;70697;7205;t30
zachodniopomorskie;110651;7507;35372;4249;t32
cały kraj;2556999;167939;865884;89269;t00
