wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;598;104;75;74;
dolnośląskie;207946;12129;68692;6483;t02
kujawsko-pomorskie;117198;7684;38827;4261;t04
lubelskie;137068;8445;42372;4556;t06
lubuskie;59581;4587;18592;3025;t08
łódzkie;166529;9977;57123;5205;t10
małopolskie;195732;12525;61456;6955;t12
mazowieckie;380778;23327;127514;12287;t14
opolskie;63420;4427;20903;2324;t16
podkarpackie;110739;7055;32822;4353;t18
podlaskie;76926;5527;23665;3049;t20
pomorskie;154111;9283;52770;4464;t22
śląskie;260985;15979;88432;8862;t24
świętokrzyskie;67591;4145;21358;2207;t26
warmińsko-mazurskie;82409;6004;25365;2869;t28
wielkopolskie;200381;13208;63137;6339;t30
zachodniopomorskie;102802;5712;30957;3204;t32
cały kraj;2384794;150118;774060;80517;t00
