wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5212;240;1097;0;
dolnośląskie;433796;4610;152071;777;t02
kujawsko-pomorskie;251916;2952;89185;109;t04
lubelskie;290926;2639;104136;383;t06
lubuskie;123904;1500;43790;41;t08
łódzkie;339706;2964;125529;311;t10
małopolskie;421605;3866;147722;322;t12
mazowieckie;793478;7197;280003;420;t14
opolskie;128082;1116;45794;60;t16
podkarpackie;260790;2257;91513;95;t18
podlaskie;168053;1847;58440;237;t20
pomorskie;341164;2927;119668;431;t22
śląskie;541955;4351;191031;388;t24
świętokrzyskie;143362;1635;51578;2;t26
warmińsko-mazurskie;183179;2418;62055;6;t28
wielkopolskie;432827;4344;146948;96;t30
zachodniopomorskie;217973;1815;77886;37;t32
cały kraj;5077928;48678;1788446;3715;t00
