wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5899;69;1112;0;
dolnośląskie;507774;6315;170305;1510;t02
kujawsko-pomorskie;295827;3703;97962;227;t04
lubelskie;341974;5047;117295;607;t06
lubuskie;148992;2099;48449;107;t08
łódzkie;394559;4354;138175;293;t10
małopolskie;487299;5083;162759;489;t12
mazowieckie;931026;12084;312209;1437;t14
opolskie;150467;1573;50720;134;t16
podkarpackie;313636;4314;104456;213;t18
podlaskie;201820;2942;67256;283;t20
pomorskie;394608;4659;134982;1030;t22
śląskie;637825;8080;214838;1272;t24
świętokrzyskie;171569;2357;57628;65;t26
warmińsko-mazurskie;216717;3250;69607;415;t28
wielkopolskie;510185;6668;168956;957;t30
zachodniopomorskie;253756;3257;85685;279;t32
cały kraj;5963933;75854;2002394;9318;t00
