wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4893;0;1068;0;
dolnośląskie;427712;3136;150730;800;t02
kujawsko-pomorskie;248630;1038;89032;94;t04
lubelskie;287717;1045;103636;349;t06
lubuskie;122128;629;43718;185;t08
łódzkie;335949;1809;124976;586;t10
małopolskie;415555;1965;146419;1080;t12
mazowieckie;783840;5429;279061;1696;t14
opolskie;126839;917;45649;104;t16
podkarpackie;256941;2890;91317;1074;t18
podlaskie;165984;965;58140;141;t20
pomorskie;336671;1517;118523;578;t22
śląskie;536138;1815;189996;1007;t24
świętokrzyskie;141610;478;51548;227;t26
warmińsko-mazurskie;180401;515;62044;358;t28
wielkopolskie;427862;1951;146690;635;t30
zachodniopomorskie;215297;742;77622;135;t32
cały kraj;5014167;26841;1780169;9049;t00
