wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;146;0;1;0;
dolnośląskie;104141;1426;19964;839;t02
kujawsko-pomorskie;59730;279;10725;1;t04
lubelskie;65944;255;9795;3;t06
lubuskie;28794;329;4250;0;t08
łódzkie;83534;22;15685;4;t10
małopolskie;93798;613;14255;7;t12
mazowieckie;185499;1751;30222;496;t14
opolskie;32675;189;6318;1;t16
podkarpackie;50192;63;6689;0;t18
podlaskie;36182;36;6121;1;t20
pomorskie;78246;2;15940;1;t22
śląskie;132035;376;22169;6;t24
świętokrzyskie;33076;225;5188;0;t26
warmińsko-mazurskie;39449;186;6267;1;t28
wielkopolskie;102713;1057;18782;0;t30
zachodniopomorskie;50750;467;8166;0;t32
cały kraj;1176904;7276;200537;1360;t00
