wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;891;27;241;1;
dolnośląskie;231917;2672;80703;897;t02
kujawsko-pomorskie;133841;1717;47320;176;t04
lubelskie;156388;1753;52557;419;t06
lubuskie;67839;1138;22550;318;t08
łódzkie;187299;2108;66755;447;t10
małopolskie;222315;2264;74317;376;t12
mazowieckie;427476;5920;149306;1547;t14
opolskie;71064;257;25158;18;t16
podkarpackie;128571;2504;41740;360;t18
podlaskie;86692;851;28257;129;t20
pomorskie;174126;2619;61949;653;t22
śląskie;293910;2778;103887;346;t24
świętokrzyskie;77253;851;26141;12;t26
warmińsko-mazurskie;93214;946;29928;80;t28
wielkopolskie;227736;3802;76244;1048;t30
zachodniopomorskie;117283;1311;38629;404;t32
cały kraj;2697815;33518;925682;7231;t00
