wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;158;12;1;0;
dolnośląskie;109132;4891;23304;3336;t02
kujawsko-pomorskie;62253;2471;12273;1512;t04
lubelskie;69405;3442;11821;2023;t06
lubuskie;30181;1299;4781;531;t08
łódzkie;87232;3568;17929;2223;t10
małopolskie;98584;4772;16841;2584;t12
mazowieckie;194150;8132;35330;4870;t14
opolskie;34135;1458;7344;1025;t16
podkarpackie;52219;1996;7681;994;t18
podlaskie;37801;1597;7143;1017;t20
pomorskie;81684;3369;18076;2079;t22
śląskie;137915;5823;26200;4029;t24
świętokrzyskie;34652;1575;6062;874;t26
warmińsko-mazurskie;41058;1582;7141;873;t28
wielkopolskie;107276;4486;21320;2531;t30
zachodniopomorskie;53881;3003;9882;1716;t32
cały kraj;1231716;53476;233129;32217;t00
