wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;8180;723;1225;0;
dolnośląskie;573580;10686;178582;994;t02
kujawsko-pomorskie;336434;6990;100008;25;t04
lubelskie;386825;6416;121959;217;t06
lubuskie;175304;3462;50550;228;t08
łódzkie;445813;7142;142049;261;t10
małopolskie;549458;9073;167817;728;t12
mazowieckie;1060391;18242;323326;1006;t14
opolskie;169969;2941;52572;195;t16
podkarpackie;362240;5463;109105;298;t18
podlaskie;230269;4130;71947;409;t20
pomorskie;446311;7665;142102;645;t22
śląskie;731387;12788;222808;448;t24
świętokrzyskie;193703;2945;58866;114;t26
warmińsko-mazurskie;246738;4119;73071;423;t28
wielkopolskie;582364;10378;178023;1488;t30
zachodniopomorskie;291979;5315;88697;312;t32
cały kraj;6790945;118478;2082707;7791;t00
