wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;2972;425;605;62;
dolnośląskie;325019;12936;118590;6516;t02
kujawsko-pomorskie;187093;8549;69825;4288;t04
lubelskie;219143;10842;79488;5321;t06
lubuskie;93132;3684;34457;1987;t08
łódzkie;256787;11078;96899;5744;t10
małopolskie;314171;14093;112226;6519;t12
mazowieckie;590861;23536;215598;12166;t14
opolskie;98576;4413;35347;2191;t16
podkarpackie;188428;9042;69078;4862;t18
podlaskie;124482;6027;43347;3150;t20
pomorskie;249045;11450;90090;5251;t22
śląskie;409734;19821;146046;9381;t24
świętokrzyskie;107339;5110;38834;2758;t26
warmińsko-mazurskie;132261;5918;44449;3236;t28
wielkopolskie;326745;14237;112365;6555;t30
zachodniopomorskie;165789;6997;59404;3740;t32
cały kraj;3791577;168158;1366648;83727;t00
