wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1;1;1;1;
dolnośląskie;51517;3947;1129;514;t02
kujawsko-pomorskie;26034;2514;596;456;t04
lubelskie;29687;2258;687;347;t06
lubuskie;11642;920;321;168;t08
łódzkie;41100;2581;993;445;t10
małopolskie;40613;3939;1009;810;t12
mazowieckie;87835;5817;1286;687;t14
opolskie;14209;1753;333;332;t16
podkarpackie;21626;1929;440;276;t18
podlaskie;15538;1327;398;307;t20
pomorskie;35946;2306;408;258;t22
śląskie;61215;5303;1225;1008;t24
świętokrzyskie;14237;1409;134;118;t26
warmińsko-mazurskie;20245;1455;338;198;t28
wielkopolskie;46373;4218;1468;1358;t30
zachodniopomorskie;23411;1639;408;361;t32
cały kraj;541229;43316;11174;7644;t00
