wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1143;139;241;0;
dolnośląskie;246543;7664;83844;2265;t02
kujawsko-pomorskie;140522;4487;48846;1350;t04
lubelskie;163441;3734;54237;993;t06
lubuskie;70639;1290;23424;531;t08
łódzkie;195398;3837;68658;1016;t10
małopolskie;233763;4689;77197;1287;t12
mazowieckie;449147;10625;154899;3637;t14
opolskie;74309;1698;25474;280;t16
podkarpackie;134658;3294;42974;1104;t18
podlaskie;91205;2751;29187;805;t20
pomorskie;183880;4046;64803;1159;t22
śląskie;306569;7567;105807;1582;t24
świętokrzyskie;79548;1108;26522;228;t26
warmińsko-mazurskie;98178;2647;30796;685;t28
wielkopolskie;238963;5413;78029;1403;t30
zachodniopomorskie;124753;3889;40841;1149;t32
cały kraj;2832659;68878;955779;19474;t00
