wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5519;303;1148;46;
dolnośląskie;444166;10210;154408;2399;t02
kujawsko-pomorskie;259066;6718;89825;625;t04
lubelskie;297966;7024;104974;837;t06
lubuskie;127210;3301;44189;398;t08
łódzkie;346222;6398;126683;1149;t10
małopolskie;430289;7833;149097;1130;t12
mazowieckie;810267;16423;282627;2570;t14
opolskie;131056;2947;46288;491;t16
podkarpackie;266555;5658;92480;910;t18
podlaskie;172348;4182;59184;736;t20
pomorskie;348516;6798;121150;1348;t22
śląskie;554527;12404;193604;2544;t24
świętokrzyskie;147134;3771;51871;294;t26
warmińsko-mazurskie;187491;4241;62976;896;t28
wielkopolskie;442712;9656;149003;1953;t30
zachodniopomorskie;222791;4433;78501;448;t32
cały kraj;5193835;112300;1808008;18774;t00
