wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;235;0;1;0;
dolnośląskie;144056;5034;40693;2826;t02
kujawsko-pomorskie;80078;1951;21380;1112;t04
lubelskie;93127;3219;23305;1849;t06
lubuskie;38687;942;8683;706;t08
łódzkie;113182;2672;30798;1860;t10
małopolskie;131110;4256;31428;2106;t12
mazowieckie;259077;9530;70622;5559;t14
opolskie;43644;980;11755;602;t16
podkarpackie;71100;2606;14708;1280;t18
podlaskie;50644;1190;12405;619;t20
pomorskie;104300;2051;30509;1380;t22
śląskie;178164;3972;46919;2223;t24
świętokrzyskie;45870;1083;11249;520;t26
warmińsko-mazurskie;54457;1581;14154;932;t28
wielkopolskie;138740;5174;37410;3479;t30
zachodniopomorskie;71293;2664;18711;1459;t32
cały kraj;1617764;48905;424730;28512;t00
