wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;31;30;1;0;
dolnośląskie;79685;10494;11686;4037;t02
kujawsko-pomorskie;46093;6839;6557;2572;t04
lubelskie;50852;6954;6262;2428;t06
lubuskie;21130;3147;2817;814;t08
łódzkie;65254;8171;9547;3234;t10
małopolskie;70792;10330;8417;3268;t12
mazowieckie;142752;18544;18020;6894;t14
opolskie;25142;3755;4339;1764;t16
podkarpackie;37475;5563;4341;1418;t18
podlaskie;28264;4752;4178;1359;t20
pomorskie;60441;7237;9279;2723;t22
śląskie;104099;15131;13585;6182;t24
świętokrzyskie;25557;4147;3642;1547;t26
warmińsko-mazurskie;31173;3955;3757;1719;t28
wielkopolskie;78254;10691;11623;4372;t30
zachodniopomorskie;38463;4974;4993;1735;t32
cały kraj;905457;124714;123044;46066;t00
