wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;216;22;1;0;
dolnośląskie;129151;10365;33540;4836;t02
kujawsko-pomorskie;73097;5231;17500;2396;t04
lubelskie;83611;6877;18379;3340;t06
lubuskie;35864;2644;7078;1103;t08
łódzkie;103323;7801;25298;3543;t10
małopolskie;117533;10140;25221;4363;t12
mazowieckie;231652;19939;55433;10262;t14
opolskie;39963;2964;9969;1243;t16
podkarpackie;63196;5570;11617;1854;t18
podlaskie;45837;3715;10320;1341;t20
pomorskie;95673;6324;25330;3140;t22
śląskie;162909;12683;39532;6273;t24
świętokrzyskie;41700;3412;9352;1416;t26
warmińsko-mazurskie;49118;3955;11367;2112;t28
wielkopolskie;125050;9188;29667;4244;t30
zachodniopomorskie;63685;4910;14828;2435;t32
cały kraj;1461578;115740;344432;53901;t00
