wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3992;162;796;6;
dolnośląskie;380260;6499;135247;2231;t02
kujawsko-pomorskie;223749;3607;80439;1724;t04
lubelskie;257203;5964;93187;2908;t06
lubuskie;109685;2329;39892;703;t08
łódzkie;301057;5241;112109;2445;t10
małopolskie;370512;7642;130484;3083;t12
mazowieckie;701106;14987;249956;5547;t14
opolskie;114077;2169;41167;1033;t16
podkarpackie;226719;5135;80340;1880;t18
podlaskie;147465;3071;51350;1322;t20
pomorskie;301289;5371;106354;2194;t22
śląskie;481616;10323;171019;4746;t24
świętokrzyskie;127759;3063;46706;1842;t26
warmińsko-mazurskie;160181;3304;54384;1273;t28
wielkopolskie;387323;7823;132318;3289;t30
zachodniopomorskie;193280;3892;69772;1992;t32
cały kraj;4487273;90582;1595520;38218;t00
