wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1320;176;333;92;
dolnośląskie;259562;12598;90084;5942;t02
kujawsko-pomorskie;148991;8312;53191;4321;t04
lubelskie;171852;8402;58548;4305;t06
lubuskie;74808;4027;25712;2167;t08
łódzkie;206002;10484;73923;5205;t10
małopolskie;246879;12649;83687;6319;t12
mazowieckie;472617;23097;165648;10519;t14
opolskie;78733;4350;27461;1982;t16
podkarpackie;143401;8587;47735;4697;t18
podlaskie;97100;5699;32113;2886;t20
pomorskie;193688;9556;69526;4681;t22
śląskie;323187;16513;113030;7206;t24
świętokrzyskie;84195;4640;28604;2072;t26
warmińsko-mazurskie;104124;5853;33573;2759;t28
wielkopolskie;252824;13645;84438;6414;t30
zachodniopomorskie;131400;6045;43912;2848;t32
cały kraj;2990683;154633;1031518;74415;t00
