wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;13035;708;1387;12;
dolnośląskie;716368;21156;191326;4240;t02
kujawsko-pomorskie;420834;13961;107925;2543;t04
lubelskie;475617;14751;132697;3753;t06
lubuskie;224340;6255;55619;1606;t08
łódzkie;557332;16472;152403;3714;t10
małopolskie;682667;21256;179583;4868;t12
mazowieckie;1320647;36868;348217;8261;t14
opolskie;207638;6342;58500;1780;t16
podkarpackie;440726;12489;118751;3422;t18
podlaskie;280822;8250;78441;2402;t20
pomorskie;545850;15426;152003;3235;t22
śląskie;951781;30060;241378;6610;t24
świętokrzyskie;239608;7365;63340;1535;t26
warmińsko-mazurskie;305228;8745;79659;1978;t28
wielkopolskie;730089;22007;192022;4766;t30
zachodniopomorskie;372233;10455;94875;2046;t32
cały kraj;8484815;252566;2248126;56771;t00
