wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;14348;796;1417;44;
dolnośląskie;776289;16311;199007;3120;t02
kujawsko-pomorskie;460170;11418;112457;1904;t04
lubelskie;510662;11361;139430;2511;t06
lubuskie;242037;4893;59097;841;t08
łódzkie;604724;12641;156877;1571;t10
małopolskie;746942;16286;186606;2747;t12
mazowieckie;1437742;28410;364338;5124;t14
opolskie;222791;4690;60679;873;t16
podkarpackie;475835;8096;125125;1945;t18
podlaskie;301379;5928;81088;971;t20
pomorskie;591557;13233;158756;2103;t22
śląskie;1033700;21708;251006;3262;t24
świętokrzyskie;258389;5546;66214;833;t26
warmińsko-mazurskie;327601;6942;82331;1315;t28
wielkopolskie;796511;16657;198630;2177;t30
zachodniopomorskie;409742;10286;98658;1682;t32
cały kraj;9210419;195202;2341716;33023;t00
