wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3331;508;0;0;
dolnośląskie;27601;5496;2;0;t02
kujawsko-pomorskie;16576;3000;0;0;t04
lubelskie;16465;3528;1;0;t06
lubuskie;6220;1273;0;0;t08
łódzkie;22295;3673;227;0;t10
małopolskie;21144;4254;2;2;t12
mazowieckie;46933;10222;0;0;t14
opolskie;8883;1522;1;0;t16
podkarpackie;11056;2436;1;0;t18
podlaskie;9097;1782;0;0;t20
pomorskie;21941;3615;1;0;t22
śląskie;34875;7044;0;0;t24
świętokrzyskie;8776;1935;0;0;t26
warmińsko-mazurskie;12401;2566;0;0;t28
wielkopolskie;27496;4916;2;1;t30
zachodniopomorskie;14134;2687;0;0;t32
cały kraj;309224;60457;237;3;t00
