wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;0;0;0;0;
dolnośląskie;40632;2308;2;0;t02
kujawsko-pomorskie;22133;806;0;0;t04
lubelskie;24354;1753;1;0;t06
lubuskie;8719;602;0;0;t08
łódzkie;31358;2188;227;0;t10
małopolskie;33025;2045;2;0;t12
mazowieckie;69344;4255;1;1;t14
opolskie;11825;477;1;0;t16
podkarpackie;16218;1586;1;0;t18
podlaskie;12600;719;0;0;t20
pomorskie;30133;1637;2;0;t22
śląskie;48334;2202;1;0;t24
świętokrzyskie;11733;309;0;0;t26
warmińsko-mazurskie;17236;570;0;0;t28
wielkopolskie;39174;2467;2;0;t30
zachodniopomorskie;20145;926;0;0;t32
cały kraj;436963;24850;240;1;t00
