wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;29871;786;2827;0;
dolnośląskie;992394;8032;253573;1261;t02
kujawsko-pomorskie;597209;6359;144244;761;t04
lubelskie;641321;4496;174933;587;t06
lubuskie;312851;4314;78306;456;t08
łódzkie;776080;6977;197019;873;t10
małopolskie;965193;9505;239780;1030;t12
mazowieckie;1821005;16730;456135;2951;t14
opolskie;295186;5019;75981;330;t16
podkarpackie;605553;11330;159111;2527;t18
podlaskie;386922;1911;103230;138;t20
pomorskie;776469;5251;195888;548;t22
śląskie;1352616;15175;315312;1611;t24
świętokrzyskie;339021;4531;83153;232;t26
warmińsko-mazurskie;414116;2031;105491;97;t28
wielkopolskie;1029241;7757;251410;1451;t30
zachodniopomorskie;542012;3924;123329;250;t32
cały kraj;11877060;114128;2959722;15103;t00
