wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3214;35;650;0;
dolnośląskie;337986;5101;122804;1065;t02
kujawsko-pomorskie;194339;2293;72480;466;t04
lubelskie;228343;2117;83206;459;t06
lubuskie;97318;1186;35977;391;t08
łódzkie;265740;2246;100998;659;t10
małopolskie;325815;2994;116759;1085;t12
mazowieckie;615350;8526;224418;2440;t14
opolskie;101725;885;36525;268;t16
podkarpackie;197028;2306;72835;787;t18
podlaskie;129806;1261;45176;202;t20
pomorskie;261877;4369;94171;867;t22
śląskie;426223;4370;151146;893;t24
świętokrzyskie;112818;1580;41149;213;t26
warmińsko-mazurskie;138114;1624;46299;113;t28
wielkopolskie;343448;5637;117845;1459;t30
zachodniopomorskie;171960;1177;62277;285;t32
cały kraj;3951104;47707;1424715;11652;t00
