wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1481;32;429;29;
dolnośląskie;284847;4039;102761;1324;t02
kujawsko-pomorskie;162192;1496;59548;435;t04
lubelskie;190966;1918;67853;606;t06
lubuskie;82384;892;29477;95;t08
łódzkie;227873;2484;84225;839;t10
małopolskie;275368;3257;96932;857;t12
mazowieckie;521307;7839;187836;2289;t14
opolskie;86512;709;30757;72;t16
podkarpackie;164267;3041;58094;855;t18
podlaskie;108834;743;37103;108;t20
pomorskie;215538;3539;78417;709;t22
śląskie;357467;3878;127588;411;t24
świętokrzyskie;94606;1449;33458;164;t26
warmińsko-mazurskie;114130;444;37711;115;t28
wielkopolskie;282765;5650;97831;1489;t30
zachodniopomorskie;145536;1783;50284;818;t32
cały kraj;3316073;43193;1180304;11215;t00
