wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;419;13;1;0;
dolnośląskie;176112;7814;54311;3465;t02
kujawsko-pomorskie;96530;4876;27713;2573;t04
lubelskie;114654;6384;31220;3052;t06
lubuskie;48138;2665;12599;1287;t08
łódzkie;141066;6929;44169;3446;t10
małopolskie;162240;9151;43762;5120;t12
mazowieckie;319141;15229;97021;8048;t14
opolskie;53564;3430;15977;2223;t16
podkarpackie;91140;5348;22836;2230;t18
podlaskie;62699;3640;16317;1647;t20
pomorskie;127996;7247;40618;3848;t22
śląskie;219828;12261;65658;6798;t24
świętokrzyskie;57078;3551;15722;2006;t26
warmińsko-mazurskie;67470;3993;19590;1869;t28
wielkopolskie;168162;8063;48871;3852;t30
zachodniopomorskie;87502;4659;24222;2248;t32
cały kraj;1993739;105253;580607;53712;t00
