wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;893;0;241;0;
dolnośląskie;233999;1999;81071;316;t02
kujawsko-pomorskie;134063;140;47319;0;t04
lubelskie;157119;696;52887;316;t06
lubuskie;68380;439;22880;236;t08
łódzkie;188346;879;67105;301;t10
małopolskie;223929;1033;74848;190;t12
mazowieckie;431359;3768;150359;1051;t14
opolskie;71260;195;25158;0;t16
podkarpackie;129579;1007;41740;0;t18
podlaskie;87333;543;28319;27;t20
pomorskie;176142;1193;62606;480;t22
śląskie;294835;925;103951;53;t24
świętokrzyskie;77357;101;26145;1;t26
warmińsko-mazurskie;93494;122;30032;2;t28
wielkopolskie;229132;1370;76357;110;t30
zachodniopomorskie;117939;563;38947;238;t32
cały kraj;2715159;14973;929965;3321;t00
