"Kod";"Nazwa";"ludność na 1 km2;2021;[osoba]";
0223062;"Mietków (2)";44;
0223073;"Sobótka (3)";94;
0223074;"Sobótka - miasto (4)";215;
0223075;"Sobótka - obszar wiejski (5)";57;
0223083;"Siechnice (3)";255;
0223084;"Siechnice - miasto (4)";595;
0223085;"Siechnice - obszar wiejski (5)";191;
0223092;"Żórawina (2)";97;
0224000;"Powiat ząbkowicki";79;
0224013;"Bardo (3)";70;
0224014;"Bardo - miasto (4)";518;
0224015;"Bardo - obszar wiejski (5)";40;
0224022;"Ciepłowody (2)";37;
0224033;"Kamieniec Ząbkowicki (3)";82;
0224034;"Kamieniec Ząbkowicki - miasto (4)";344;
0224035;"Kamieniec Ząbkowicki - obszar wiejski (5)";41;
0224042;"Stoszowice (2)";48;
0224053;"Ząbkowice Śląskie (3)";145;
0224054;"Ząbkowice Śląskie - miasto (4)";1068;
0224055;"Ząbkowice Śląskie - obszar wiejski (5)";50;
0224063;"Ziębice (3)";74;
0224064;"Ziębice - miasto (4)";556;
0224065;"Ziębice - obszar wiejski (5)";39;
0224073;"Złoty Stok (3)";58;
0224074;"Złoty Stok - miasto (4)";346;
0224075;"Złoty Stok - obszar wiejski (5)";25;
0225000;"Powiat zgorzelecki";104;
0225011;"Zawidów (1)";671;
0225021;"Zgorzelec (1)";1842;
0225033;"Bogatynia (3)";164;
0225034;"Bogatynia - miasto (4)";280;
0225035;"Bogatynia - obszar wiejski (5)";73;
0225043;"Pieńsk (3)";81;
0225044;"Pieńsk - miasto (4)";573;
0225045;"Pieńsk - obszar wiejski (5)";32;
0225052;"Sulików (2)";63;
0225063;"Węgliniec (3)";24;
0225064;"Węgliniec - miasto (4)";317;
0225065;"Węgliniec - obszar wiejski (5)";16;
0225072;"Zgorzelec (2)";63;
0226000;"Powiat złotoryjski";74;
0226011;"Wojcieszów (1)";111;
0226021;"Złotoryja (1)";1305;
0226032;"Pielgrzymka (2)";42;
0226043;"Świerzawa (3)";46;
0226044;"Świerzawa - miasto (4)";1240;
0226045;"Świerzawa - obszar wiejski (5)";33;
0226052;"Zagrodno (2)";42;
0226062;"Złotoryja (2)";48;
0261000;"Powiat m.Jelenia Góra";708;
0261011;"Jelenia Góra (1)";708;
0262000;"Powiat m.Legnica";1729;
0262011;"Legnica (1)";1729;
0264000;"Powiat m.Wrocław";2195;
0264011;"Wrocław (1)";2195;
0265000;"Powiat m.Wałbrzych od 2013";1278;
0265011;"Wałbrzych od 2013 (1)";1278;
0400000;"KUJAWSKO-POMORSKIE";114;
0401000;"Powiat aleksandrowski";115;
0401011;"Aleksandrów Kujawski (1)";1647;
0401021;"Ciechocinek (1)";684;
0401031;"Nieszawa (1)";186;
0401042;"Aleksandrów Kujawski (2)";92;
0401052;"Bądkowo (2)";52;
0401062;"Koneck (2)";46;
0401072;"Raciążek (2)";94;
0401082;"Waganiec (2)";83;
0401092;"Zakrzewo (2)";46;
0402000;"Powiat brodnicki";76;
0402011;"Brodnica (1)";1233;
0402022;"Bobrowo (2)";43;
0402032;"Brodnica (2)";70;
0402042;"Brzozie (2)";41;
0402053;"Górzno (3)";33;
0402054;"Górzno - miasto (4)";403;
0402055;"Górzno - obszar wiejski (5)";22;
0402062;"Bartniczka (2)";56;
0402073;"Jabłonowo Pomorskie (3)";65;
0402074;"Jabłonowo Pomorskie - miasto (4)";1104;
0402075;"Jabłonowo Pomorskie - obszar wiejski (5)";38;
0402082;"Osiek (2)";53;
0402092;"Świedziebnia (2)";49;
0402102;"Zbiczno (2)";37;
0403000;"Powiat bydgoski";88;
0403012;"Białe Błota (2)";195;
0403022;"Dąbrowa Chełmińska (2)";68;
0403032;"Dobrcz (2)";93;
0403043;"Koronowo (3)";58;
0403044;"Koronowo - miasto (4)";389;
0403045;"Koronowo - obszar wiejski (5)";34;
0403052;"Nowa Wieś Wielka (2)";70;
0403062;"Osielsko (2)";157;
0403072;"Sicienko (2)";58;
0403083;"Solec Kujawski (3)";95;
0403084;"Solec Kujawski - miasto (4)";832;
0403085;"Solec Kujawski - obszar wiejski (5)";7;
0404000;"Powiat chełmiński";97;
0404011;"Chełmno (1)";1395;
0404022;"Chełmno (2)";54;
0404032;"Kijewo Królewskie (2)";63;
0404042;"Lisewo (2)";60;
0404052;"Papowo Biskupie (2)";60;
0404062;"Stolno (2)";54;
0404072;"Unisław (2)";96;
0405000;"Powiat golubsko-dobrzyński";73;
0405011;"Golub-Dobrzyń (1)";1628;
0405022;"Ciechocin (2)";39;
0405032;"Golub-Dobrzyń (2)";45;
0405043;"Kowalewo Pomorskie (3)";80;
0405044;"Kowalewo Pomorskie - miasto (4)";907;
0405045;"Kowalewo Pomorskie - obszar wiejski (5)";53;
0405052;"Radomin (2)";47;
0405062;"Zbójno (2)";51;
0406000;"Powiat grudziądzki";55;
0406012;"Grudziądz (2)";81;
0406022;"Gruta (2)";52;
0406033;"Łasin (3)";56;
0406034;"Łasin - miasto (4)";658;
0406035;"Łasin - obszar wiejski (5)";35;
0406043;"Radzyń Chełmiński (3)";50;
0406044;"Radzyń Chełmiński - miasto (4)";993;
0406045;"Radzyń Chełmiński - obszar wiejski (5)";31;
0406052;"Rogóźno (2)";35;
0406062;"Świecie nad Osą (2)";43;
0407000;"Powiat inowrocławski";128;
0407011;"Inowrocław (1)";2325;
0407022;"Dąbrowa Biskupia (2)";34;
0407033;"Gniewkowo (3)";79;
0407034;"Gniewkowo - miasto (4)";761;
0407035;"Gniewkowo - obszar wiejski (5)";42;
0407042;"Inowrocław (2)";69;
0407053;"Janikowo (3)";140;
0407054;"Janikowo - miasto (4)";899;
0407055;"Janikowo - obszar wiejski (5)";53;
0407063;"Kruszwica (3)";72;
0407064;"Kruszwica - miasto (4)";902;
0407065;"Kruszwica - obszar wiejski (5)";38;
0407073;"Pakość (3)";111;
0407074;"Pakość - miasto (4)";1597;
0407075;"Pakość - obszar wiejski (5)";49;
0407082;"Rojewo (2)";39;
0407092;"Złotniki Kujawskie (2)";67;
0408000;"Powiat lipnowski";64;
0408011;"Lipno (1)";1286;
0408022;"Bobrowniki (2)";32;
0408032;"Chrostkowo (2)";38;
0408043;"Dobrzyń nad Wisłą (3)";64;
0408044;"Dobrzyń nad Wisłą - miasto (4)";374;
0408045;"Dobrzyń nad Wisłą - obszar wiejski (5)";49;
0408052;"Kikół (2)";71;
0408062;"Lipno (2)";56;
0408073;"Skępe (3)";41;
0408074;"Skępe - miasto (4)";469;
0408075;"Skępe - obszar wiejski (5)";23;
0408082;"Tłuchowo (2)";47;
0408092;"Wielgie (2)";50;
0409000;"Powiat mogileński";67;
0409012;"Dąbrowa (2)";41;
0409022;"Jeziora Wielkie (2)";39;
0409033;"Mogilno (3)";95;
0409034;"Mogilno - miasto (4)";1373;
0409035;"Mogilno - obszar wiejski (5)";52;
0409043;"Strzelno (3)";62;
0409044;"Strzelno - miasto (4)";1239;
0409045;"Strzelno - obszar wiejski (5)";33;
0410000;"Powiat nakielski";76;
0410013;"Kcynia (3)";44;
0410014;"Kcynia - miasto (4)";648;
0410015;"Kcynia - obszar wiejski (5)";30;
0410023;"Mrocza (3)";61;
0410024;"Mrocza - miasto (4)";859;
0410025;"Mrocza - obszar wiejski (5)";33;
0410033;"Nakło nad Notecią (3)";167;
0410034;"Nakło nad Notecią - miasto (4)";1646;
0410035;"Nakło nad Notecią - obszar wiejski (5)";76;
0410042;"Sadki (2)";47;
0410053;"Szubin (3)";75;
0410054;"Szubin - miasto (4)";1245;
0410055;"Szubin - obszar wiejski (5)";48;
0411000;"Powiat radziejowski";65;
0411011;"Radziejów (1)";951;
0411022;"Bytoń (2)";46;
0411032;"Dobre (2)";74;
0411042;"Osięciny (2)";60;
0411053;"Piotrków Kujawski (3)";66;
0411054;"Piotrków Kujawski - miasto (4)";448;
0411055;"Piotrków Kujawski - obszar wiejski (5)";37;
0411062;"Radziejów (2)";47;
0411072;"Topólka (2)";46;
0412000;"Powiat rypiński";73;
0412011;"Rypin (1)";1443;
0412022;"Brzuze (2)";61;
0412032;"Rogowo (2)";34;
0412042;"Rypin (2)";57;
0412052;"Skrwilno (2)";47;
0412062;"Wąpielsk (2)";42;
0413000;"Powiat sępoleński";51;
0413013;"Kamień Krajeński (3)";41;
0413014;"Kamień Krajeński - miasto (4)";639;
0413015;"Kamień Krajeński - obszar wiejski (5)";28;
0413023;"Sępólno Krajeńskie (3)";68;
0413024;"Sępólno Krajeńskie - miasto (4)";1367;
0413025;"Sępólno Krajeńskie - obszar wiejski (5)";30;
0413032;"Sośno (2)";30;
0413043;"Więcbork (3)";56;
0413044;"Więcbork - miasto (4)";1361;
0413045;"Więcbork - obszar wiejski (5)";32;
0414000;"Powiat świecki";67;
0414012;"Bukowiec (2)";46;
0414022;"Dragacz (2)";64;
0414032;"Drzycim (2)";45;
0414042;"Jeżewo (2)";51;
0414052;"Lniano (2)";49;
0414063;"Nowe (3)";93;
0414064;"Nowe - miasto (4)";1582;
0414065;"Nowe - obszar wiejski (5)";42;
0414072;"Osie (2)";26;
0414082;"Pruszcz (2)";66;
0414093;"Świecie (3)";193;
0414094;"Świecie - miasto (4)";2126;
0414095;"Świecie - obszar wiejski (5)";52;
0414102;"Świekatowo (2)";57;
0414112;"Warlubie (2)";32;
0415000;"Powiat toruński";90;
0415011;"Chełmża (1)";1809;
0415022;"Chełmża (2)";55;
0415032;"Czernikowo (2)";53;
0415042;"Lubicz (2)";194;
0415052;"Łubianka (2)";90;
0415062;"Łysomice (2)";82;
0415072;"Obrowo (2)";116;
0415082;"Wielka Nieszawka (2)";25;
0415092;"Zławieś Wielka (2)";84;
0416000;"Powiat tucholski";45;
0416012;"Cekcyn (2)";27;
0416022;"Gostycyn (2)";38;
0416032;"Kęsowo (2)";41;
0416042;"Lubiewo (2)";37;
0416052;"Śliwice (2)";32;
0416063;"Tuchola (3)";84;
0416064;"Tuchola - miasto (4)";760;
0416065;"Tuchola - obszar wiejski (5)";30;
0417000;"Powiat wąbrzeski";67;
0417011;"Wąbrzeźno (1)";1556;
0417022;"Dębowa Łąka (2)";37;
0417032;"Książki (2)";48;
0417042;"Płużnica (2)";39;
0417052;"Ryńsk (2)";43;
0418000;"Powiat włocławski";58;
0418011;"Kowal (1)";735;
0418022;"Baruchowo (2)";32;
0418032;"Boniewo (2)";43;
0418043;"Brześć Kujawski (3)";75;
0418044;"Brześć Kujawski - miasto (4)";643;
0418045;"Brześć Kujawski - obszar wiejski (5)";47;
0418052;"Choceń (2)";78;
0418063;"Chodecz (3)";48;
0418064;"Chodecz - miasto (4)";1181;
0418065;"Chodecz - obszar wiejski (5)";30;
0418072;"Fabianki (2)";135;
0418083;"Izbica Kujawska (3)";57;
0418084;"Izbica Kujawska - miasto (4)";1148;
0418085;"Izbica Kujawska - obszar wiejski (5)";39;
0418092;"Kowal (2)";34;
0418102;"Lubanie (2)";65;
0418113;"Lubień Kujawski (3)";47;
0418114;"Lubień Kujawski - miasto (4)";586;
0418115;"Lubień Kujawski - obszar wiejski (5)";39;
0418123;"Lubraniec (3)";62;
0418124;"Lubraniec - miasto (4)";1450;
0418125;"Lubraniec - obszar wiejski (5)";43;
0418132;"Włocławek (2)";33;
0419000;"Powiat żniński";71;
0419013;"Barcin (3)";121;
0419014;"Barcin - miasto (4)";1961;
0419015;"Barcin - obszar wiejski (5)";63;
0419022;"Gąsawa (2)";38;
0419033;"Janowiec Wielkopolski (3)";67;
0419034;"Janowiec Wielkopolski - miasto (4)";1261;
0419035;"Janowiec Wielkopolski - obszar wiejski (5)";39;
0419043;"Łabiszyn (3)";63;
0419044;"Łabiszyn - miasto (4)";1552;
0419045;"Łabiszyn - obszar wiejski (5)";36;
0419052;"Rogowo (2)";38;
0419063;"Żnin (3)";94;
0419064;"Żnin - miasto (4)";1602;
0419065;"Żnin - obszar wiejski (5)";42;
0461000;"Powiat m.Bydgoszcz";1927;
0461011;"Bydgoszcz (1)";1927;
0462000;"Powiat m.Grudziądz";1602;
0462011;"Grudziądz (1)";1602;
0463000;"Powiat m.Toruń";1702;
0463011;"Toruń (1)";1702;
0464000;"Powiat m.Włocławek";1257;
0464011;"Włocławek (1)";1257;
0600000;"LUBELSKIE";83;
0601000;"Powiat bialski";40;
0601011;"Międzyrzec Podlaski (1)";822;
0601021;"Terespol (1)";534;
0601032;"Biała Podlaska (2)";45;
0601042;"Drelów (2)";23;
0601052;"Janów Podlaski (2)";38;
0601062;"Kodeń (2)";23;
0601072;"Konstantynów (2)";46;
0601082;"Leśna Podlaska (2)";43;
0601092;"Łomazy (2)";24;
0601102;"Międzyrzec Podlaski (2)";40;
0601112;"Piszczac (2)";42;
0601122;"Rokitno (2)";20;
0601132;"Rossosz (2)";28;
0601142;"Sławatycze (2)";32;
0601152;"Sosnówka (2)";16;
0601162;"Terespol (2)";46;
0601172;"Tuczna (2)";17;
0601182;"Wisznice (2)";28;
0601192;"Zalesie (2)";29;
0602000;"Powiat biłgorajski";59;
0602011;"Biłgoraj (1)";1225;
0602022;"Aleksandrów (2)";60;
0602032;"Biłgoraj (2)";51;
0602042;"Biszcza (2)";35;
0602053;"Frampol (3)";56;
0602054;"Frampol - miasto (4)";306;
0602055;"Frampol - obszar wiejski (5)";44;
0602063;"Goraj (3)";59;
0602064;"Goraj - miasto (4)";120;
0602065;"Goraj - obszar wiejski (5)";51;
0602073;"Józefów (3)";52;
0602074;"Józefów - miasto (4)";489;
0602075;"Józefów - obszar wiejski (5)";34;
0602082;"Księżpol (2)";48;
0602092;"Łukowa (2)";28;
0602102;"Obsza (2)";37;
0602112;"Potok Górny (2)";47;
0602123;"Tarnogród (3)";57;
0602124;"Tarnogród - miasto (4)";306;
0602125;"Tarnogród - obszar wiejski (5)";32;
0602132;"Tereszpol (2)";27;
0602142;"Turobin (2)";36;
0603000;"Powiat chełmski";41;
0603011;"Rejowiec Fabryczny (1)";298;
0603022;"Białopole (2)";27;
0603032;"Chełm (2)";69;
0603042;"Dorohusk (2)";33;
0603052;"Dubienka (2)";24;
0603062;"Kamień (2)";43;
0603072;"Leśniowice (2)";30;
0603082;"Rejowiec Fabryczny (2)";47;
0603092;"Ruda-Huta (2)";39;
0603102;"Sawin (2)";28;
0603113;"Siedliszcze (3)";44;
0603114;"Siedliszcze - miasto (4)";105;
0603115;"Siedliszcze - obszar wiejski (5)";38;
0603122;"Wierzbica (2)";34;
0603132;"Wojsławice (2)";33;
0603142;"Żmudź (2)";22;
0603153;"Rejowiec (3)";59;
0603154;"Rejowiec - miasto (4)";307;
0603155;"Rejowiec - obszar wiejski (5)";42;
0604000;"Powiat hrubieszowski";48;
0604011;"Hrubieszów (1)";511;
0604022;"Dołhobyczów (2)";24;
0604032;"Horodło (2)";38;
0604042;"Hrubieszów (2)";38;
0604052;"Mircze (2)";29;
0604062;"Trzeszczany (2)";44;
0604072;"Uchanie (2)";36;
0604082;"Werbkowice (2)";48;
0605000;"Powiat janowski";51;
0605012;"Batorz (2)";45;
0605022;"Chrzanów (2)";39;
0605032;"Dzwola (2)";30;
0605042;"Godziszów (2)";56;
0605053;"Janów Lubelski (3)";86;
0605054;"Janów Lubelski - miasto (4)";777;
0605055;"Janów Lubelski - obszar wiejski (5)";24;
0605063;"Modliborzyce (3)";45;
0605064;"Modliborzyce - miasto (4)";184;
0605065;"Modliborzyce - obszar wiejski (5)";37;
0605072;"Potok Wielki (2)";46;
0606000;"Powiat krasnostawski";60;
0606011;"Krasnystaw (1)";431;
0606022;"Fajsławice (2)";64;
0606032;"Gorzków (2)";34;
0606042;"Izbica (2)";57;
0606052;"Krasnystaw (2)";55;
0606062;"Kraśniczyn (2)";31;
0606072;"Łopiennik Górny (2)";36;
0606092;"Rudnik (2)";33;
0606102;"Siennica Różana (2)";41;
0606112;"Żółkiewka (2)";39;
0607000;"Powiat kraśnicki";93;
0607011;"Kraśnik (1)";1279;
0607023;"Annopol (3)";55;
0607024;"Annopol - miasto (4)";308;
0607025;"Annopol - obszar wiejski (5)";42;
0607032;"Dzierzkowice (2)";60;
0607042;"Gościeradów (2)";44;
0607052;"Kraśnik (2)";69;
0607062;"Szastarka (2)";77;
0607072;"Trzydnik Duży (2)";61;
0607083;"Urzędów (3)";71;
0607084;"Urzędów - miasto (4)";129;
0607085;"Urzędów - obszar wiejski (5)";64;
0607092;"Wilkołaz (2)";67;
0607102;"Zakrzówek (2)";64;
0608000;"Powiat lubartowski";68;
0608011;"Lubartów (1)";1537;
0608022;"Abramów (2)";47;
0608032;"Firlej (2)";46;
0608042;"Jeziorzany (2)";40;
0608053;"Kamionka (3)";58;
0608054;"Kamionka - miasto (4)";282;
0608055;"Kamionka - obszar wiejski (5)";45;
0608063;"Kock (3)";62;
0608064;"Kock - miasto (4)";190;
0608065;"Kock - obszar wiejski (5)";36;
0608072;"Lubartów (2)";75;
0608082;"Michów (2)";42;
0608092;"Niedźwiada (2)";64;
0608103;"Ostrów Lubelski (3)";43;
0608104;"Ostrów Lubelski - miasto (4)";69;
0608105;"Ostrów Lubelski - obszar wiejski (5)";34;
0608112;"Ostrówek (2)";42;
0608122;"Serniki (2)";64;
0608132;"Uścimów (2)";29;
0609000;"Powiat lubelski";94;
0609013;"Bełżyce (3)";98;
