wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;65;0;12;0;t0
dolnoœl¹skie;1419560;36369;402101;16320;t02
kujawsko-pomorskie;876886;21313;235804;9584;t04
lubelskie;883545;21452;272261;10618;t06
lubuskie;479738;10414;135981;4458;t08
³ódzkie;1147165;29864;321549;12770;t10
ma³opolskie;1395735;34760;395108;15789;t12
mazowieckie;2615565;62786;760386;28609;t14
opolskie;440656;9611;114385;4055;t16
podkarpackie;863389;17752;267297;9854;t18
podlaskie;559286;10418;163115;5715;t20
pomorskie;1150865;27490;313676;14753;t22
œl¹skie;2051442;56344;569177;24361;t24
œwiêtokrzyskie;485824;11798;132280;5200;t26
warmiñsko-mazurskie;582175;12791;167413;5597;t28
wielkopolskie;1497065;38891;417733;15857;t30
zachodniopomorskie;805941;19231;217386;8656;t32
ca³y kraj;17254902;421284;4885664;192196;t00
