wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;87;54;1;0;
dolnośląskie;87575;7669;13948;2215;t02
kujawsko-pomorskie;51071;4742;7773;1140;t04
lubelskie;56716;5685;7615;1348;t06
lubuskie;23973;2725;3252;429;t08
łódzkie;72215;6702;11857;2190;t10
małopolskie;79756;8732;10074;1554;t12
mazowieckie;157546;13768;21267;2872;t14
opolskie;28644;3355;5199;857;t16
podkarpackie;42782;5303;5346;1004;t18
podlaskie;31719;3237;4941;728;t20
pomorskie;66488;5504;11470;1856;t22
śląskie;116209;11693;17320;3605;t24
świętokrzyskie;28820;3136;4370;712;t26
warmińsko-mazurskie;34389;3116;4776;998;t28
wielkopolskie;87540;8763;14359;2611;t30
zachodniopomorskie;42723;4080;6211;1219;t32
cały kraj;1008253;98264;149779;25338;t00
