wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;0;0;0;0;
dolnośląskie;47357;2140;615;592;t02
kujawsko-pomorskie;23468;869;140;140;t04
lubelskie;27351;1367;340;141;t06
lubuskie;10710;932;147;141;t08
łódzkie;38102;1612;515;244;t10
małopolskie;36525;2096;199;197;t12
mazowieckie;81617;5023;591;438;t14
opolskie;12443;528;1;0;t16
podkarpackie;19679;1444;164;143;t18
podlaskie;13853;528;91;91;t20
pomorskie;33518;1235;137;135;t22
śląskie;55458;2800;217;216;t24
świętokrzyskie;12802;858;16;16;t26
warmińsko-mazurskie;18737;874;140;140;t28
wielkopolskie;41904;1723;110;108;t30
zachodniopomorskie;21640;895;45;45;t32
cały kraj;495164;24924;3468;2787;t00
