wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;146;1;1;0;
dolnośląskie;99079;3795;18270;1682;t02
kujawsko-pomorskie;58438;2188;10698;887;t04
lubelskie;64521;2358;9779;644;t06
lubuskie;27585;1223;4170;384;t08
łódzkie;81139;2632;15323;1067;t10
małopolskie;91415;3671;14214;1495;t12
mazowieckie;178643;6395;29015;2618;t14
opolskie;32028;800;6317;290;t16
podkarpackie;49283;1762;6671;498;t18
podlaskie;35734;1104;6086;373;t20
pomorskie;74199;2409;14761;913;t22
śląskie;129571;3894;21974;1523;t24
świętokrzyskie;32467;983;5188;201;t26
warmińsko-mazurskie;38515;1185;6103;347;t28
wielkopolskie;99628;4609;18775;1930;t30
zachodniopomorskie;48690;1754;8136;639;t32
cały kraj;1141081;40763;195481;15491;t00
