wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;424;5;1;0;
dolnośląskie;181297;4973;56982;2517;t02
kujawsko-pomorskie;100496;3832;30265;2439;t04
lubelskie;119549;4672;33909;2539;t06
lubuskie;50172;1909;13492;807;t08
łódzkie;146445;4755;47331;2735;t10
małopolskie;169050;6100;48201;3778;t12
mazowieckie;330556;11102;103831;6598;t14
opolskie;55634;1906;17221;1111;t16
podkarpackie;94716;3366;24552;1689;t18
podlaskie;65613;2426;17913;1277;t20
pomorskie;133068;4655;43723;2777;t22
śląskie;228922;8269;71929;5608;t24
świętokrzyskie;59617;2457;17177;1412;t26
warmińsko-mazurskie;70202;2512;20876;1081;t28
wielkopolskie;174469;5688;51949;2705;t30
zachodniopomorskie;90779;2914;25555;1150;t32
cały kraj;2071009;71541;624907;40223;t00
