wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;12742;239;1355;5;
dolnośląskie;734088;15951;193461;1935;t02
kujawsko-pomorskie;432806;11057;108905;966;t04
lubelskie;487685;10911;134635;1853;t06
lubuskie;229907;4934;56667;964;t08
łódzkie;572228;13190;154027;1489;t10
małopolskie;701905;17125;181677;2033;t12
mazowieckie;1354103;30108;352707;4270;t14
opolskie;212242;4065;58994;467;t16
podkarpackie;452402;9825;120944;2037;t18
podlaskie;288380;6401;79605;1088;t20
pomorskie;558841;11436;153780;1547;t22
śląskie;976070;21369;245094;3499;t24
świętokrzyskie;245599;5357;64434;1038;t26
warmińsko-mazurskie;311608;5703;80591;914;t28
wielkopolskie;750313;17868;194287;1919;t30
zachodniopomorskie;381758;7607;95906;932;t32
cały kraj;8702677;193146;2277069;26956;t00
