wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;235;0;1;0;
dolnośląskie;147723;3661;43484;2789;t02
kujawsko-pomorskie;80329;251;21381;0;t04
lubelskie;94017;892;24046;741;t06
lubuskie;39090;402;9047;363;t08
łódzkie;116161;2848;33458;2571;t10
małopolskie;132487;1304;31940;494;t12
mazowieckie;263987;4796;74161;3536;t14
opolskie;43976;332;11891;136;t16
podkarpackie;72577;1473;15680;971;t18
podlaskie;50886;192;12586;137;t20
pomorskie;105148;521;31175;371;t22
śląskie;180818;2615;49022;2091;t24
świętokrzyskie;46160;290;11324;75;t26
warmińsko-mazurskie;54639;180;14308;154;t28
wielkopolskie;140287;1454;37838;369;t30
zachodniopomorskie;72638;1273;19023;263;t32
cały kraj;1641158;22484;440365;15061;t00
