wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;424;0;1;0;
dolnośląskie;189324;3453;59387;820;t02
kujawsko-pomorskie;105249;1591;32740;488;t04
lubelskie;124669;2300;35900;702;t06
lubuskie;52557;712;14261;250;t08
łódzkie;151593;1672;49461;550;t10
małopolskie;176108;3098;50634;1058;t12
mazowieckie;346135;5798;110181;2163;t14
opolskie;57271;776;17746;183;t16
podkarpackie;99796;1741;26151;738;t18
podlaskie;67989;1192;18932;613;t20
pomorskie;139477;2286;45598;869;t22
śląskie;238308;2651;76346;828;t24
świętokrzyskie;61745;833;18083;368;t26
warmińsko-mazurskie;73362;2406;21575;404;t28
wielkopolskie;181012;2651;54626;396;t30
zachodniopomorskie;94127;1476;26613;378;t32
cały kraj;2159146;34636;658235;10808;t00
