wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1;0;1;0;
dolnośląskie;61388;1984;4367;246;t02
kujawsko-pomorskie;34547;2067;2776;232;t04
lubelskie;37695;2521;1991;174;t06
lubuskie;15091;733;1463;229;t08
łódzkie;50711;2465;4016;701;t10
małopolskie;53232;3321;3273;342;t12
mazowieckie;108179;6064;5421;922;t14
opolskie;18975;666;1568;122;t16
podkarpackie;28286;1921;2070;226;t18
podlaskie;20241;1300;1982;370;t20
pomorskie;46755;2829;3866;520;t22
śląskie;77459;3825;3810;253;t24
świętokrzyskie;18720;1084;1187;183;t26
warmińsko-mazurskie;24564;834;996;41;t28
wielkopolskie;59076;2889;4732;249;t30
zachodniopomorskie;29357;1196;1960;187;t32
cały kraj;684277;35699;45479;4997;t00
