wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;12827;83;1367;12;
dolnośląskie;745558;10742;193980;496;t02
kujawsko-pomorskie;440700;7719;109626;706;t04
lubelskie;491705;3950;135418;764;t06
lubuskie;232676;2440;57301;631;t08
łódzkie;582054;8667;154532;471;t10
małopolskie;716503;14094;182660;924;t12
mazowieckie;1377873;22853;354938;2091;t14
opolskie;214684;2335;59229;207;t16
podkarpackie;459175;5651;122037;992;t18
podlaskie;291981;3367;79771;164;t20
pomorskie;567897;8325;154702;751;t22
śląskie;994085;17597;246280;1167;t24
świętokrzyskie;249378;3715;65040;606;t26
warmińsko-mazurskie;314909;3224;80712;120;t28
wielkopolskie;763998;13022;195250;800;t30
zachodniopomorskie;389732;7370;96116;164;t32
cały kraj;8845735;135154;2288959;11066;t00
