wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;30700;240;2829;0;
dolnośląskie;1003474;5172;255134;743;t02
kujawsko-pomorskie;601810;1506;144352;0;t04
lubelskie;645000;1164;175437;213;t06
lubuskie;316355;1575;78729;62;t08
łódzkie;783263;2735;197664;101;t10
małopolskie;971204;2035;240332;86;t12
mazowieckie;1842920;6633;460975;1485;t14
opolskie;299569;1624;76045;0;t16
podkarpackie;619076;6260;164285;2287;t18
podlaskie;393099;547;104280;33;t20
pomorskie;784284;3928;197062;390;t22
śląskie;1364504;3315;315934;15;t24
świętokrzyskie;340718;243;83359;2;t26
warmińsko-mazurskie;416915;770;105620;3;t28
wielkopolskie;1034290;1709;251949;97;t30
zachodniopomorskie;548605;3096;123388;6;t32
cały kraj;11995786;42552;2977374;5523;t00
