wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;864;14;240;7;
dolnośląskie;229179;7059;79769;3376;t02
kujawsko-pomorskie;132049;5359;47119;3120;t04
lubelskie;154635;6840;52138;3773;t06
lubuskie;66594;2767;22137;1226;t08
łódzkie;184629;6453;65971;2830;t10
małopolskie;219311;7728;73550;3629;t12
mazowieckie;421113;15453;147615;6398;t14
opolskie;70806;2339;25138;1229;t16
podkarpackie;125880;5487;41351;2989;t18
podlaskie;85793;3261;28103;1404;t20
pomorskie;170965;5763;61106;3163;t22
śląskie;290922;9366;103501;4772;t24
świętokrzyskie;76377;3519;26115;1800;t26
warmińsko-mazurskie;92199;3531;29826;1611;t28
wielkopolskie;223777;8364;75168;4145;t30
zachodniopomorskie;115683;4492;38088;2511;t32
cały kraj;2660776;97795;916935;47983;t00
