wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;424;0;1;0;
dolnośląskie;185823;1079;58526;255;t02
kujawsko-pomorskie;103648;755;32234;295;t04
lubelskie;122169;761;35087;223;t06
lubuskie;51698;448;13958;166;t08
łódzkie;149892;774;48901;226;t10
małopolskie;172746;725;49366;64;t12
mazowieckie;339821;3344;107599;772;t14
opolskie;56490;104;17562;103;t16
podkarpackie;98028;866;25409;121;t18
podlaskie;66769;315;18313;76;t20
pomorskie;136951;795;44726;88;t22
śląskie;235465;2000;75398;1011;t24
świętokrzyskie;60829;329;17642;164;t26
warmińsko-mazurskie;70904;0;21137;0;t28
wielkopolskie;178181;936;54018;702;t30
zachodniopomorskie;92407;356;26094;49;t32
cały kraj;2122245;13587;645971;4315;t00
