wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;10370;217;1290;0;
dolnośląskie;643274;12192;180031;134;t02
kujawsko-pomorskie;377275;6706;100831;1;t04
lubelskie;430409;4652;123368;184;t06
lubuskie;200121;3850;51185;46;t08
łódzkie;501148;7977;143039;68;t10
małopolskie;614847;11688;169271;258;t12
mazowieckie;1188979;22199;326456;492;t14
opolskie;188091;2051;53606;141;t16
podkarpackie;402859;7632;110977;565;t18
podlaskie;255070;3777;73183;758;t20
pomorskie;496044;8064;143162;47;t22
śląskie;846507;22942;225105;257;t24
świętokrzyskie;217069;4119;59558;315;t26
warmińsko-mazurskie;275721;4679;74352;76;t28
wielkopolskie;655279;12614;180611;387;t30
zachodniopomorskie;332201;6987;89525;41;t32
cały kraj;7635264;142346;2105550;3770;t00
