wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;247;12;1;0;
dolnośląskie;152210;2329;45607;523;t02
kujawsko-pomorskie;81840;1123;21965;357;t04
lubelskie;96435;1978;24872;577;t06
lubuskie;40239;637;9734;269;t08
łódzkie;120633;2040;36566;945;t10
małopolskie;136981;3362;33563;1104;t12
mazowieckie;273623;5846;79378;2608;t14
opolskie;44751;589;11910;13;t16
podkarpackie;74378;1348;16707;726;t18
podlaskie;51594;678;12755;157;t20
pomorskie;108213;1967;32991;826;t22
śląskie;185348;2958;51095;865;t24
świętokrzyskie;46971;694;11575;242;t26
warmińsko-mazurskie;56002;1095;15093;542;t28
wielkopolskie;144059;2933;39110;1262;t30
zachodniopomorskie;74941;1303;19414;382;t32
cały kraj;1688465;30892;462336;11398;t00
