wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4237;0;796;0;
dolnośląskie;393214;5261;138333;1543;t02
kujawsko-pomorskie;229342;2848;81724;822;t04
lubelskie;263305;2593;94564;709;t06
lubuskie;112380;825;40240;55;t08
łódzkie;308008;2734;113883;509;t10
małopolskie;380143;3026;132934;316;t12
mazowieckie;721699;7207;253569;1347;t14
opolskie;116625;1020;41825;291;t16
podkarpackie;232903;2179;82213;395;t18
podlaskie;150575;1177;51830;341;t20
pomorskie;309887;2939;108109;882;t22
śląskie;493564;5255;173304;997;t24
świętokrzyskie;130395;1176;46914;123;t26
warmińsko-mazurskie;164556;1953;55355;622;t28
wielkopolskie;395700;2938;134338;794;t30
zachodniopomorskie;199396;2176;71356;471;t32
cały kraj;4605929;45307;1621287;10217;t00
