wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;116;0;1;0;
dolnośląskie;95146;7386;16560;2599;t02
kujawsko-pomorskie;56104;4824;9784;1968;t04
lubelskie;62048;5217;9117;1502;t06
lubuskie;26211;2021;3786;528;t08
łódzkie;78088;5552;14026;2011;t10
małopolskie;87590;7576;12718;2564;t12
mazowieckie;171363;12519;26227;4583;t14
opolskie;31123;2403;6026;826;t16
podkarpackie;47475;4612;6173;826;t18
podlaskie;34472;2593;5693;690;t20
pomorskie;71452;4621;13647;2005;t22
śląskie;125477;8924;20425;3071;t24
świętokrzyskie;31450;2468;4919;500;t26
warmińsko-mazurskie;37270;2715;5733;946;t28
wielkopolskie;94800;6951;16835;2421;t30
zachodniopomorskie;46851;3933;7458;1192;t32
cały kraj;1097036;84315;179128;28232;t00
