wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;12903;67;1371;4;
dolnośląskie;750294;3547;194348;359;t02
kujawsko-pomorskie;442371;1330;109971;294;t04
lubelskie;493085;1271;135872;413;t06
lubuskie;233819;856;57726;395;t08
łódzkie;584520;1949;154562;18;t10
małopolskie;721289;4032;182774;90;t12
mazowieckie;1388263;8705;356210;1123;t14
opolskie;214858;163;59259;30;t16
podkarpackie;462411;2388;122497;447;t18
podlaskie;292606;467;79778;0;t20
pomorskie;569811;1452;155238;271;t22
śląskie;999751;4960;246584;271;t24
świętokrzyskie;249996;580;65175;122;t26
warmińsko-mazurskie;315964;749;80730;12;t28
wielkopolskie;768815;4139;195545;128;t30
zachodniopomorskie;392320;1870;96139;8;t32
cały kraj;8893076;38525;2293779;3985;t00
