wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;194;36;1;0;
dolnośląskie;118541;9325;28605;5281;t02
kujawsko-pomorskie;67749;5457;15102;2824;t04
lubelskie;76554;7045;15014;3135;t06
lubuskie;33121;2931;5951;1169;t08
łódzkie;95072;7452;21498;3389;t10
małopolskie;107232;8617;20843;3997;t12
mazowieckie;211472;16854;45030;9461;t14
opolskie;36983;2849;8727;1384;t16
podkarpackie;57573;5312;9761;2080;t18
podlaskie;41895;4048;8939;1798;t20
pomorskie;88694;6476;21675;3338;t22
śląskie;149944;11769;33134;6835;t24
świętokrzyskie;38188;3510;7934;1847;t26
warmińsko-mazurskie;44901;3755;9193;2030;t28
wielkopolskie;115660;8351;25391;4052;t30
zachodniopomorskie;58662;4623;12392;2510;t32
cały kraj;1342435;108410;289190;55130;t00
