wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;494;70;1;0;
dolnośląskie;195378;5968;62042;2606;t02
kujawsko-pomorskie;109388;4018;34473;1690;t04
lubelskie;128606;3912;37814;1912;t06
lubuskie;54810;2164;15427;1116;t08
łódzkie;156153;4371;51666;2102;t10
małopolskie;182401;5987;54231;3354;t12
mazowieckie;357069;10525;115020;4557;t14
opolskie;58901;1594;18503;741;t16
podkarpackie;103591;3675;28421;2272;t18
podlaskie;71150;3095;20568;1597;t20
pomorskie;144076;4259;48034;2224;t22
śląskie;244906;6580;79462;3106;t24
świętokrzyskie;63356;1560;19124;1001;t26
warmińsko-mazurskie;76339;2969;22451;875;t28
wielkopolskie;186833;5749;56560;1868;t30
zachodniopomorskie;96666;2468;27583;920;t32
cały kraj;2230117;68964;691380;31941;t00
