data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2199;0
2020-12-28;4329;0
2020-12-29;10143;1
2020-12-30;20514;0
2020-12-31;10668;1
2021-01-01;1351;0
2021-01-02;2289;0
2021-01-03;657;1
2021-01-04;40854;13
2021-01-05;55659;7
2021-01-06;18829;1
2021-01-07;30481;0
2021-01-08;11861;0
2021-01-09;2266;1
2021-01-10;999;0
2021-01-11;47932;230
2021-01-12;63673;3
2021-01-13;55294;1
2021-01-14;46662;2
2021-01-15;26186;1
2021-01-16;21077;18
2021-01-17;12091;431
2021-01-18;28310;2930
2021-01-19;49300;8151
2021-01-20;50706;14375
2021-01-21;53271;14946
2021-01-22;38167;5299
2021-01-23;16726;1364
2021-01-24;5300;562
2021-01-25;72286;29593
2021-01-26;130992;48107
2021-01-27;102745;26347
2021-01-28;87757;29328
2021-01-29;41952;15984
2021-01-30;15008;3108
2021-01-31;7419;1387
2021-02-01;55234;33041
2021-02-02;112055;57071
2021-02-03;118815;55480
2021-02-04;104120;50755
2021-02-05;49949;29217
2021-02-06;23221;15654
2021-02-07;15169;10041
2021-02-08;31632;11655
2021-02-09;86765;20109
2021-02-10;112350;44428
2021-02-11;111063;58254
2021-02-12;74975;42629
2021-02-13;35264;15135
2021-02-14;14187;4528
2021-02-15;35853;11475
2021-02-16;71245;33167
2021-02-17;153694;82917
2021-02-18;172471;91808
2021-02-19;100280;48895
2021-02-20;33518;7231
