wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1004;111;241;0;
dolnośląskie;238549;4367;81489;406;t02
kujawsko-pomorskie;135765;1623;47409;33;t04
lubelskie;159595;2457;53208;305;t06
lubuskie;69267;838;22887;7;t08
łódzkie;191315;2671;67568;292;t10
małopolskie;228579;3969;75680;559;t12
mazowieckie;438062;6451;151139;705;t14
opolskie;72430;1142;25158;1;t16
podkarpackie;131277;1621;41824;44;t18
podlaskie;88361;1018;28374;55;t20
pomorskie;178977;2561;63339;680;t22
śląskie;298852;3879;104082;37;t24
świętokrzyskie;78348;898;26231;13;t26
warmińsko-mazurskie;95468;1922;30090;7;t28
wielkopolskie;233071;3506;76528;23;t30
zachodniopomorskie;120516;2268;39535;456;t32
cały kraj;2759436;41302;934782;3623;t00
