wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1660;22;456;0;
dolnośląskie;287205;2238;103367;568;t02
kujawsko-pomorskie;162609;415;59799;252;t04
lubelskie;191704;738;68042;189;t06
lubuskie;82812;336;29493;0;t08
łódzkie;228964;795;84801;394;t10
małopolskie;276809;1157;97456;527;t12
mazowieckie;525635;3986;189213;1268;t14
opolskie;86834;287;30862;91;t16
podkarpackie;165833;1442;58621;490;t18
podlaskie;109417;464;37182;42;t20
pomorskie;216850;999;78531;0;t22
śląskie;359240;1609;127750;110;t24
świętokrzyskie;94854;235;33478;11;t26
warmińsko-mazurskie;114628;331;37880;168;t28
wielkopolskie;284337;1315;98701;826;t30
zachodniopomorskie;146963;1086;51115;640;t32
cały kraj;3336354;17455;1186747;5576;t00
