wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;235;0;1;0;
dolnośląskie;149820;2084;45060;1576;t02
kujawsko-pomorskie;80706;376;21605;224;t04
lubelskie;94424;397;24295;246;t06
lubuskie;39535;429;9465;418;t08
łódzkie;118469;2020;35491;1970;t10
małopolskie;133621;1227;32423;483;t12
mazowieckie;267701;3619;76740;2529;t14
opolskie;44090;114;11897;6;t16
podkarpackie;72965;382;15981;300;t18
podlaskie;50906;0;12596;0;t20
pomorskie;106029;373;31973;349;t22
śląskie;182367;1513;50224;1195;t24
świętokrzyskie;46262;102;11324;0;t26
warmińsko-mazurskie;54891;250;14551;243;t28
wielkopolskie;141069;734;37844;5;t30
zachodniopomorskie;73618;948;19026;4;t32
cały kraj;1656708;14568;450496;9548;t00
