wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;0;0;0;0;
dolnośląskie;45152;1662;23;21;t02
kujawsko-pomorskie;22598;223;0;0;t04
lubelskie;25917;695;199;182;t06
lubuskie;9756;478;6;6;t08
łódzkie;36434;1796;270;43;t10
małopolskie;34428;563;2;0;t12
mazowieckie;76576;3075;144;143;t14
opolskie;11915;0;1;0;t16
podkarpackie;18172;515;21;20;t18
podlaskie;13162;71;0;0;t20
pomorskie;32127;499;2;0;t22
śląskie;52574;1497;1;0;t24
świętokrzyskie;11944;54;0;0;t26
warmińsko-mazurskie;17832;172;0;0;t28
wielkopolskie;40167;0;2;0;t30
zachodniopomorskie;20712;3;0;0;t32
cały kraj;469466;11303;671;415;t00
