wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1380;60;376;43;
dolnośląskie;273186;13308;97601;7412;t02
kujawsko-pomorskie;156517;7378;57233;3975;t04
lubelskie;182284;10352;63918;5322;t06
lubuskie;78875;3734;28114;2142;t08
łódzkie;217957;11400;80218;6035;t10
małopolskie;261887;14291;91326;7391;t12
mazowieckie;497312;24123;178623;12797;t14
opolskie;83324;4481;29820;2336;t16
podkarpackie;154041;10267;53577;5720;t18
podlaskie;103524;6172;35287;3110;t20
pomorskie;204953;10858;74930;5401;t22
śląskie;343190;19625;122943;9613;t24
świętokrzyskie;89634;5388;31505;2884;t26
warmińsko-mazurskie;109826;5615;36326;2720;t28
wielkopolskie;267318;13853;91896;7230;t30
zachodniopomorskie;138648;6894;47357;3387;t32
cały kraj;3163856;167799;1121050;87518;t00
