wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3757;153;738;23;
dolnośląskie;360238;11284;127608;3051;t02
kujawsko-pomorskie;211807;7392;75039;1927;t04
lubelskie;241637;7885;86446;2559;t06
lubuskie;103367;3502;37589;1079;t08
łódzkie;284998;8809;104847;2839;t10
małopolskie;348389;11605;121748;2897;t12
mazowieckie;661040;22002;234420;6515;t14
opolskie;107378;3732;37982;1286;t16
podkarpackie;212572;6446;75304;1673;t18
podlaskie;137873;5297;47697;2128;t20
pomorskie;284811;8552;99205;3091;t22
śląskie;452282;14315;157980;3988;t24
świętokrzyskie;119446;4044;42491;1100;t26
warmińsko-mazurskie;150817;5547;50479;1775;t28
wielkopolskie;366253;12005;123227;3828;t30
zachodniopomorskie;182453;5421;64667;1902;t32
cały kraj;4229118;137991;1487467;41661;t00
