wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3831;67;790;52;
dolnośląskie;373212;12381;132826;5095;t02
kujawsko-pomorskie;219744;7526;78620;3435;t04
lubelskie;250991;9161;90222;3674;t06
lubuskie;107157;3481;39087;1369;t08
łódzkie;295485;10204;109479;4522;t10
małopolskie;362100;13061;127069;5092;t12
mazowieckie;685709;24161;244319;9743;t14
opolskie;111857;4350;40127;2128;t16
podkarpackie;221252;8539;78341;3020;t18
podlaskie;144040;5726;49946;2150;t20
pomorskie;295478;10370;104041;4793;t22
śląskie;470830;18139;166031;7939;t24
świętokrzyskie;124574;5026;44821;2237;t26
warmińsko-mazurskie;156739;5860;53101;2606;t28
wielkopolskie;379143;12529;128872;5601;t30
zachodniopomorskie;189114;6402;67708;3030;t32
cały kraj;4391256;156983;1555400;66486;t00
