wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;0;0;0;0;
dolnośląskie;43423;2701;2;0;t02
kujawsko-pomorskie;22375;211;0;0;t04
lubelskie;25222;863;17;16;t06
lubuskie;9278;559;0;0;t08
łódzkie;34544;3117;227;0;t10
małopolskie;33865;840;2;0;t12
mazowieckie;73502;4160;1;0;t14
opolskie;11915;90;1;0;t16
podkarpackie;17658;1437;1;0;t18
podlaskie;13091;490;0;0;t20
pomorskie;31191;759;2;0;t22
śląskie;50894;2540;1;0;t24
świętokrzyskie;11890;156;0;0;t26
warmińsko-mazurskie;17660;424;0;0;t28
wielkopolskie;40167;888;2;0;t30
zachodniopomorskie;20628;193;0;0;t32
cały kraj;457303;19428;256;16;t00
