wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4863;137;1050;52;
dolnośląskie;424441;6368;149852;2425;t02
kujawsko-pomorskie;247537;3698;88903;1511;t04
lubelskie;286658;5702;103283;2504;t06
lubuskie;121491;1823;43529;652;t08
łódzkie;333846;5368;124344;2747;t10
małopolskie;412689;7166;144967;2978;t12
mazowieckie;778124;13848;277298;6667;t14
opolskie;125882;1643;45535;772;t16
podkarpackie;253936;5248;90175;2162;t18
podlaskie;164859;3432;57985;1623;t20
pomorskie;334625;5361;117833;2355;t22
śląskie;533981;8856;188836;3794;t24
świętokrzyskie;141043;2523;51321;1292;t26
warmińsko-mazurskie;179550;3624;61546;1649;t28
wielkopolskie;425731;6842;145976;3040;t30
zachodniopomorskie;214238;3622;77337;1452;t32
cały kraj;4983494;85261;1769770;37675;t00
