wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;235;18;1;0;
dolnośląskie;138821;9355;37796;4124;t02
kujawsko-pomorskie;77991;4772;20243;2737;t04
lubelskie;89823;6142;21447;3053;t06
lubuskie;37735;1784;7976;859;t08
łódzkie;110205;6496;28790;3333;t10
małopolskie;126741;8856;29294;3854;t12
mazowieckie;249326;17291;65010;9478;t14
opolskie;42657;2650;11158;1188;t16
podkarpackie;68346;5054;13427;1811;t18
podlaskie;49372;3422;11760;1396;t20
pomorskie;101830;5611;28767;2937;t22
śląskie;174092;10944;44694;5089;t24
świętokrzyskie;44740;3014;10722;1361;t26
warmińsko-mazurskie;52767;3491;13160;1746;t28
wielkopolskie;133361;8103;33891;4127;t30
zachodniopomorskie;68562;4765;17239;2405;t32
cały kraj;1566604;101768;395375;49498;t00
