wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3176;204;649;44;
dolnośląskie;332620;7120;121619;2881;t02
kujawsko-pomorskie;191935;4692;71948;2056;t04
lubelskie;226124;6686;82691;3101;t06
lubuskie;95989;2631;35496;934;t08
łódzkie;263327;6159;100270;3203;t10
małopolskie;322532;8115;115617;3344;t12
mazowieckie;606694;15477;221872;6084;t14
opolskie;100805;2190;36233;857;t16
podkarpackie;194607;5896;72006;2856;t18
podlaskie;128455;3628;44953;1509;t20
pomorskie;256934;7577;93208;2886;t22
śląskie;421670;11547;150096;3896;t24
świętokrzyskie;111240;3701;40937;1987;t26
warmińsko-mazurskie;136454;4143;46175;1709;t28
wielkopolskie;337632;10258;116320;3673;t30
zachodniopomorskie;170471;4540;61926;2445;t32
cały kraj;3900665;104564;1412016;43465;t00
