wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;3304;29;658;8;
dolnośląskie;342528;2736;123403;102;t02
kujawsko-pomorskie;197240;1937;72829;83;t04
lubelskie;230848;1781;83534;30;t06
lubuskie;98584;570;36375;25;t08
łódzkie;268809;1974;101678;296;t10
małopolskie;330872;3415;117832;406;t12
mazowieckie;624438;5786;226366;750;t14
opolskie;102637;587;36598;70;t16
podkarpackie;199679;1450;73258;75;t18
podlaskie;130929;414;45281;22;t20
pomorskie;266293;2500;95335;578;t22
śląskie;430935;3081;152691;745;t24
świętokrzyskie;113790;704;41225;0;t26
warmińsko-mazurskie;140191;1572;46325;4;t28
wielkopolskie;349639;3103;118890;267;t30
zachodniopomorskie;174018;1497;62362;30;t32
cały kraj;4004734;33136;1434640;3491;t00
