wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1857;1;456;0;
dolnośląskie;291761;4544;104058;723;t02
kujawsko-pomorskie;164869;1980;60272;397;t04
lubelskie;194532;2767;68465;382;t06
lubuskie;83499;582;29511;15;t08
łódzkie;231449;2339;85149;315;t10
małopolskie;281155;4164;98365;862;t12
mazowieckie;532573;6541;190470;1148;t14
opolskie;87845;900;30895;7;t16
podkarpackie;167519;1591;59106;481;t18
podlaskie;110350;829;37198;2;t20
pomorskie;220538;3569;78777;234;t22
śląskie;363583;4210;127888;35;t24
świętokrzyskie;95989;1134;33482;2;t26
warmińsko-mazurskie;116712;2066;37891;5;t28
wielkopolskie;289973;5367;99326;566;t30
zachodniopomorskie;149222;2097;51591;338;t32
cały kraj;3383426;44681;1192900;5512;t00
