wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;406;107;1;0;
dolnośląskie;168059;9142;50652;3560;t02
kujawsko-pomorskie;91537;5307;25114;2184;t04
lubelskie;108104;6452;28071;2219;t06
lubuskie;45319;2876;11277;1086;t08
łódzkie;133828;7187;40542;2654;t10
małopolskie;152489;8457;38094;3378;t12
mazowieckie;303409;16484;88587;6349;t14
opolskie;50080;3146;13727;1302;t16
podkarpackie;85589;6401;20510;2280;t18
podlaskie;58780;3695;14471;1163;t20
pomorskie;120382;5857;36533;2119;t22
śląskie;206817;11863;58335;4941;t24
świętokrzyskie;53477;3324;13718;1417;t26
warmińsko-mazurskie;63239;3761;17528;1303;t28
wielkopolskie;159799;8769;44859;3264;t30
zachodniopomorskie;82799;4803;21902;1751;t32
cały kraj;1884113;107631;523921;40970;t00
