wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;13564;661;1373;2;
dolnośląskie;759738;9145;195742;1344;t02
kujawsko-pomorskie;448413;5939;110504;508;t04
lubelskie;499244;5959;136900;994;t06
lubuskie;236936;2904;58216;419;t08
łódzkie;591579;6560;155253;648;t10
małopolskie;730244;8398;183833;968;t12
mazowieckie;1407062;17053;359147;2655;t14
opolskie;217977;3045;59788;488;t16
podkarpackie;467005;4103;123096;601;t18
podlaskie;295178;2460;80005;212;t20
pomorskie;577339;7160;156386;1029;t22
śląskie;1010772;10161;247553;817;t24
świętokrzyskie;252716;2655;65343;164;t26
warmińsko-mazurskie;320339;3864;81018;238;t28
wielkopolskie;779213;9748;196211;543;t30
zachodniopomorskie;399220;6297;96916;707;t32
cały kraj;9006539;106112;2307284;12337;t00
